date,region,product,units,revenue
2025-02-01,East,Gadget,18,378.01
2025-03-11,West,Widget,44,2176.19
2025-01-28,South,Gadget,6,49.91
2025-03-25,East,Doohickey,46,1952.69
2025-01-01,West,Gadget,18,683.43
2025-01-28,South,Gizmo,10,114.03
2025-02-15,East,Gizmo,7,165.97
2025-02-28,North,Widget,47,2457.4
2025-03-22,South,Gizmo,19,166.97
2025-03-26,West,Gadget,3,144.55
2025-01-13,North,Doohickey,15,891.13
2025-01-21,North,Gizmo,24,915.27
2025-03-31,North,Widget,18,510.85
2025-01-21,West,Doohickey,16,661.85
2025-03-30,South,Gadget,41,438.68
2025-01-08,North,Gadget,50,2685.7
2025-02-04,East,Widget,26,1357.25
2025-02-10,West,Gadget,37,2091.44
2025-02-28,South,Gadget,42,502.17
2025-03-13,North,Gizmo,48,1228.09
2025-02-16,South,Gadget,26,
2025-01-07,West,Widget,6,242.29
2025-02-24,West,Widget,44,1984.31
2025-03-09,South,Gizmo,30,354.49
2025-03-29,East,Gizmo,8,377.69
2025-01-21,North,Doohickey,28,684.94
2025-02-03,East,Gadget,47,2733.17
2025-03-23,East,Gadget,20,1096.41
2025-03-11,West,Widget,11,384.52
2025-02-16,North,Gizmo,8,316.35
2025-01-11,West,Widget,37,825.73
2025-03-10,South,Gadget,49,791.85
2025-01-22,West,Gizmo,36,1670.04
2025-03-30,South,Gadget,35,617.53
2025-03-25,North,Gizmo,43,1546.27
2025-01-16,South,Gadget,29,492.89
2025-03-17,West,Gadget,2,45.12
2025-03-22,West,Widget,46,933.23
2025-02-12,West,Widget,3,68.09
2025-01-28,West,Gadget,32,996.45
2025-02-22,South,Gadget,31,323.33
2025-02-15,East,Doohickey,28,668.56
2025-01-07,South,Widget,47,595.5
2025-01-14,East,Gadget,22,794.31
2025-01-18,West,Doohickey,29,800.64
2025-01-10,West,Doohickey,16,498.27
2025-01-02,East,Widget,35,770.82
2025-03-03,West,Gadget,32,852.88
2025-02-18,South,Widget,11,187.27
2025-02-06,South,Doohickey,30,319.56
2025-01-28,South,Widget,19,181.41
2025-01-07,East,Doohickey,4,199.68
2025-01-11,West,Gadget,33,735.08
2025-01-31,East,Doohickey,44,1927.26
2025-02-01,East,Widget,37,
2025-03-14,East,Gizmo,38,1397.22
2025-02-10,,Gadget,46,1295.84
2025-03-24,North,Gizmo,43,
2025-01-10,South,Widget,49,546.93
2025-01-13,South,Widget,37,525.83
2025-02-14,West,Widget,9,362.12
2025-02-26,West,Gizmo,11,382.59
2025-02-08,East,Widget,36,1681.72
2025-03-12,West,Gadget,7,214.05
2025-02-13,,Gadget,14,437.78
2025-01-07,North,Widget,17,683.68
2025-01-01,South,Gizmo,3,48.88
2025-01-21,West,Doohickey,17,773.24
2025-01-10,South,Gadget,8,108.87
2025-03-12,East,Gadget,38,2028.58
2025-02-16,South,Widget,20,
2025-03-27,North,Widget,16,454.45
2025-03-21,North,Gadget,27,1382.53
2025-02-22,West,Widget,12,655.01
2025-02-22,West,Gadget,22,1088.18
2025-01-14,North,Doohickey,45,1186.56
2025-01-26,East,Doohickey,15,815.16
2025-01-29,North,Widget,15,483.11
2025-01-09,,Gizmo,18,646.9
2025-03-28,North,Gizmo,26,1187.14
2025-01-23,East,Gizmo,17,418.43
2025-02-14,East,Gizmo,28,681.41
2025-01-15,South,Doohickey,33,464.05
2025-02-25,West,Widget,46,1388.69
2025-03-27,West,Gizmo,5,172.84
2025-02-08,North,Gizmo,8,372.28
2025-02-07,South,Gadget,45,506.78
2025-03-28,West,Gadget,25,920.45
2025-02-08,North,Gizmo,1,36.24
2025-03-19,West,Gizmo,38,1413.43
2025-01-28,South,Doohickey,44,546.39
2025-03-07,West,Gizmo,19,880.73
2025-01-31,,Gizmo,49,2584.11
2025-01-04,West,Widget,10,522.63
2025-01-10,West,Doohickey,40,2374.3
2025-01-25,South,Doohickey,37,
2025-03-25,,Widget,10,119.97
2025-01-23,East,Doohickey,15,767.05
2025-02-28,East,Gadget,8,338.37
2025-03-18,South,Gizmo,36,528.33
